3,nan,Bike,Bike,Bike,MotorizedBike,MotorizedBike,Ped,Ped,Unclassified,Unclassified,Unclassified,Total,Total,Total,Date
4,Time,NB,SB,Total,NB,Total,SB,Total,NB,SB,Total,NB,SB,Total,
5,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,5/13/2022
6,01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,5/13/2022
7,02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,5/13/2022
8,03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,5/13/2022
9,04:00:00,1,0,1,0,0,1,1,0,0,0,1,1,2,5/13/2022
10,05:00:00,3,0,3,0,0,5,5,0,0,0,3,5,8,5/13/2022
11,06:00:00,11,0,11,0,0,14,14,0,0,0,11,14,25,5/13/2022
12,07:00:00,12,0,12,0,0,22,22,0,0,0,12,22,34,5/13/2022
13,08:00:00,23,2,25,0,0,27,27,0,0,0,23,29,52,5/13/2022
14,09:00:00,27,7,34,0,0,32,32,0,0,0,27,39,66,5/13/2022
15,10:00:00,23,2,25,0,0,29,29,1,0,1,24,31,55,5/13/2022
16,11:00:00,29,1,30,0,0,43,43,0,0,0,29,44,73,5/13/2022
17,12:00:00,32,3,35,0,0,26,26,0,0,0,32,29,61,5/13/2022
18,13:00:00,48,4,52,0,0,32,32,0,0,0,48,36,84,5/13/2022
19,14:00:00,50,4,54,1,1,23,23,0,1,1,51,28,79,5/13/2022
20,15:00:00,62,8,70,0,0,22,22,0,0,0,62,30,92,5/13/2022
21,16:00:00,85,4,89,0,0,45,45,1,0,1,86,49,135,5/13/2022
22,17:00:00,72,8,80,0,0,46,46,1,0,1,73,54,127,5/13/2022
23,18:00:00,60,1,61,0,0,52,52,1,0,1,61,53,114,5/13/2022
24,19:00:00,38,7,45,0,0,49,49,0,0,0,38,56,94,5/13/2022
25,20:00:00,11,1,12,0,0,13,13,0,0,0,11,14,25,5/13/2022
26,21:00:00,4,1,5,0,0,3,3,0,0,0,4,4,8,5/13/2022
27,22:00:00,1,1,2,0,0,1,1,0,0,0,1,2,3,5/13/2022
28,23:00:00,1,0,1,0,0,2,2,0,0,0,1,2,3,5/13/2022
